timestamp,cell_id,convex,nondegenerate,area_before_kw2,area_after_kw2,area_loss_kw2,facet_count_before,facet_count_after
2010-11-26 18:00:00,6,true,true,273023.170776754,271609.212923058,1413.9578536966,3,3
2010-11-26 18:00:00,21,true,true,184291.018129794,183339.393741984,951.62438780957,3,3
2010-11-26 18:00:00,3,true,true,255011.609846594,253608.257902716,1403.35194387758,3,3
2010-11-26 18:00:00,19,true,true,224551.927854778,223302.905776375,1249.02207840321,3,3
2010-11-26 18:00:00,17,true,true,341098.790690154,338905.215540984,2193.57514917047,3,3
2010-11-26 18:00:00,7,true,true,285569.030463872,284015.506630259,1553.52383361215,3,3
2010-11-26 18:00:00,18,true,true,270812.540254263,269195.709793772,1616.83046049078,3,3
2010-11-26 18:00:00,22,true,true,138623.808860906,137909.99482125,713.814039655961,3,3
2010-11-26 18:00:00,15,true,true,2790230.16559693,2775870.1727071,14359.9928898299,7,7
2010-11-26 18:00:00,12,true,true,235959.168194434,234701.093482824,1258.07471160984,3,3
2010-11-26 18:00:00,10,true,true,182128.71087676,181216.862347935,911.848528825096,3,3
2010-11-26 18:00:00,20,true,true,192538.55833022,191473.380300345,1065.17802987486,3,3
2010-11-26 18:00:00,1,true,true,250342.913535759,248970.957831925,1371.9557038343,3,3
2010-11-26 18:00:00,0,true,true,273990.579137346,272488.328827114,1502.25031023205,3,3
2010-11-26 18:00:00,9,true,true,163709.474987892,162853.339702275,856.135285617551,3,3
2010-11-26 18:00:00,13,true,true,280446.486449997,278859.477617517,1587.00883248053,3,3
2010-12-21 12:00:00,10,true,true,345275.719083693,343452.246414203,1823.47266949003,3,3
2010-12-21 12:00:00,7,true,true,294232.36783549,292762.787110586,1469.58072490327,3,3
