registry_id,timestamp,p13_abs_kw,p30_abs_kw,first_membership_id
REG_000117,2010-07-01 07:30:00,-1226.53435905641,296.728801539655,CAL_000391
REG_000118,2010-07-01 07:30:00,-1225.33677158122,3542.39176395247,CAL_000268
REG_000119,2010-07-01 07:30:00,-1220.91239698617,276.398977259007,CAL_000392
REG_000120,2010-07-01 07:30:00,-1215.31429527934,256.155435487861,CAL_000393
REG_000121,2010-07-01 07:30:00,-1209.73905501973,235.994564001352,CAL_000394
REG_000122,2010-07-01 07:30:00,-1204.18569237031,215.912805103188,CAL_000395
REG_000123,2010-07-01 07:30:00,-1198.65323784,195.906652974,CAL_000396
REG_000124,2010-07-01 07:30:00,-1192.98326827683,176.014638603263,CAL_000398
REG_000125,2010-07-01 07:30:00,-1187.33393065277,156.195007483429,CAL_000399
REG_000126,2010-07-01 07:30:00,-1182.50278785928,3518.90498300053,CAL_000267
REG_000127,2010-07-01 07:30:00,-1181.70425668924,136.444362592404,CAL_000400
REG_000128,2010-07-01 07:30:00,-1176.09329080698,116.759351461367,CAL_000401
REG_000129,2010-07-01 07:30:00,-1170.50008944831,97.1366637969164,CAL_000402
REG_000130,2010-07-01 07:30:00,-1164.9237204162,77.5730291623322,CAL_000403
REG_000131,2010-07-01 07:30:00,-1159.36326222905,58.0652147138872,CAL_000404
REG_000132,2010-07-01 07:30:00,-1153.81780349012,38.6100229887781,CAL_000405
REG_000133,2010-07-01 07:30:00,-1148.28644227083,19.2042897413582,CAL_000406
REG_000134,2010-07-01 07:30:00,-1142.8125,0,CAL_000407
REG_000135,2010-07-01 07:30:00,-1142.76773047818,-0.154904216460962,CAL_000408
REG_000136,2010-07-01 07:30:00,-1140.9375304772,3496.1138715858,CAL_000266
REG_000137,2010-07-01 07:30:00,-1137.19302160667,-19.4436049799987,CAL_000409
REG_000138,2010-07-01 07:30:00,-1131.63038002966,-38.6905524541603,CAL_000410
REG_000139,2010-07-01 07:30:00,-1126.0789220075,-57.8988044111501,CAL_000411
REG_000140,2010-07-01 07:30:00,-1120.53777075099,-77.0713945742877,CAL_000412
REG_000141,2010-07-01 07:30:00,-1115.00605585804,-96.2113345673117,CAL_000413
REG_000142,2010-07-01 07:30:00,-1109.48291275874,-115.321615834407,CAL_000414
REG_000143,2010-07-01 07:30:00,-1103.96748216811,-134.405211533593,CAL_000415
REG_000144,2010-07-01 07:30:00,-1100.57939623836,3473.98465137014,CAL_000265
REG_000145,2010-07-01 07:30:00,-1098.45890954592,-153.465078406047,CAL_000416
REG_000146,2010-07-01 07:30:00,-1092.95634456257,-172.504158623899,CAL_000417
REG_000147,2010-07-01 07:30:00,-1087.45894057059,-191.525381618955,CAL_000418
REG_000148,2010-07-01 07:30:00,-1081.83454827143,-210.461036664466,CAL_000420
REG_000149,2010-07-01 07:30:00,-1076.21467749961,-229.381469072982,CAL_000421
REG_000150,2010-07-01 07:30:00,-1070.5984677727,-248.289575832825,CAL_000422
REG_000151,2010-07-01 07:30:00,-1064.98506084372,-267.188246406145,CAL_000423
REG_000152,2010-07-01 07:30:00,-1061.37066633822,3452.48567390995,CAL_000264
REG_000153,2010-07-01 07:30:00,-1059.37360017563,-286.080364498236,CAL_000424
REG_000154,2010-07-01 07:30:00,-1053.76323041804,-304.968809819365,CAL_000425
REG_000155,2010-07-01 07:30:00,-1048.15309688538,-323.856459841438,CAL_000426
REG_000156,2010-07-01 07:30:00,-1042.54234503605,-342.746191551749,CAL_000427
REG_000157,2010-07-01 07:30:00,-1036.93011995164,-361.640883206116,CAL_000428
REG_000158,2010-07-01 07:30:00,-1031.31556581576,-380.543416083651,CAL_000429
REG_000159,2010-07-01 07:30:00,-1025.69782539164,-399.456676245453,CAL_000430
REG_000160,2010-07-01 07:30:00,-1023.25720406863,3431.58725490095,CAL_000263
REG_000161,2010-07-01 07:30:00,-1020.07603949791,-418.383556299497,CAL_000431
REG_000162,2010-07-01 07:30:00,-1014.44934648186,-437.32695717402,CAL_000432
REG_000163,2010-07-01 07:30:00,-1008.81688168949,-456.289789901725,CAL_000433
REG_000164,2010-07-01 07:30:00,-1003.17777693165,-475.274977417128,CAL_000434
REG_000165,2010-07-01 07:30:00,-997.531159945542,-494.285456369435,CAL_000435
REG_000166,2010-07-01 07:30:00,-991.876153850972,-513.324178953337,CAL_000436
REG_000167,2010-07-01 07:30:00,-986.21187660046,-532.394114760186,CAL_000437
REG_000168,2010-07-01 07:30:00,-986.188180306583,3411.2615236579,CAL_000262
REG_000169,2010-07-01 07:30:00,-980.537440422626,-551.498252652018,CAL_000438
REG_000170,2010-07-01 07:30:00,-974.851951258,-570.639602661,CAL_000439
REG_000171,2010-07-01 07:30:00,-968.984081543575,-589.676770767937,CAL_000440
REG_000172,2010-07-01 07:30:00,-963.10437659132,-608.752336014405,CAL_000441
REG_000173,2010-07-01 07:30:00,-957.211902199985,-627.869329235625,CAL_000442
REG_000174,2010-07-01 07:30:00,-951.305716207089,-647.030807095503,CAL_000443
REG_000175,2010-07-01 07:30:00,-950.115823852561,3391.4822862198,CAL_000261
REG_000176,2010-07-01 07:30:00,-945.384867872887,-666.239854085215,CAL_000444
REG_000177,2010-07-01 07:30:00,-939.448397252832,-685.499584559134,CAL_000445
REG_000178,2010-07-01 07:30:00,-933.495334557629,-704.813144811011,CAL_000446
REG_000179,2010-07-01 07:30:00,-927.524699499954,-724.183715193431,CAL_000447
REG_000180,2010-07-01 07:30:00,-921.535500626868,-743.614512283647,CAL_000448
REG_000181,2010-07-01 07:30:00,-915.526734636948,-763.108791099034,CAL_000449
REG_000182,2010-07-01 07:30:00,-914.995194032888,3372.22490066296,CAL_000260
REG_000183,2010-07-01 07:30:00,-909.497385681083,-782.669847365506,CAL_000450
REG_000184,2010-07-01 07:30:00,-903.446424645884,-802.301019842365,CAL_000451
REG_000185,2010-07-01 07:30:00,-897.372808418582,-822.005692707195,CAL_000452
REG_000186,2010-07-01 07:30:00,-891.275479132259,-841.787298004553,CAL_000453
REG_000187,2010-07-01 07:30:00,-885.153363390217,-861.649318162378,CAL_000454
REG_000188,2010-07-01 07:30:00,-880.783973283,3353.46616337,CAL_000259
REG_000189,2010-07-01 07:30:00,-879.005371468203,-881.595288580188,CAL_000455
REG_000190,2010-07-01 07:30:00,-872.830396493205,-901.628800293337,CAL_000456
REG_000191,2010-07-01 07:30:00,-866.627313597431,-921.753502717768,CAL_000457
