selection_index,timestamp,level,angle_deg,parent_start_angle_deg,parent_end_angle_deg,adaptive_triggers,status,no_reentry_statement,official_boundary_r,binding_mechanism,binding_bus,safe_r,safe_p13_abs_kw,safe_p30_abs_kw,safe_vmin_pu,safe_vmin_bus,safe_vmax_pu,safe_vmax_bus,safe_solver_status,violating_r,violating_p13_abs_kw,violating_p30_abs_kw,violating_vmin_pu,violating_vmin_bus,violating_vmax_pu,violating_vmax_bus,violating_solver_status,sweep_point_count,refinement_steps,unresolved_point_count,bracket_width_kw
1,2012-10-15 13:00:00,BASE,240,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9630859375,BINDING_VMIN,33,0.9630859375,-886.520957947,-2079.81842165,0.90000578269,33,1,1,CONVERGED_FEASIBLE,0.96318359375,-886.598262787,-2080.01026975,0.899996708371,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.20683744873
1,2012-10-15 13:00:00,BASE,250,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.940234375,BINDING_VMIN,33,0.940234375,-633.265654243,-2192.04804241,0.90000335145,33,1,1,CONVERGED_FEASIBLE,0.94033203125,-633.318533867,-2192.25620979,0.899994063569,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.214778753999
1,2012-10-15 13:00:00,BASE,260,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.944921875,BINDING_VMIN,33,0.944921875,-383.918865817,-2298.74419189,0.900001494257,33,1,1,CONVERGED_FEASIBLE,0.94501953125,-383.945713506,-2298.9623535,0.899992241098,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.219807380218
1,2012-10-15 13:00:00,BASE,270,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9779296875,BINDING_VMIN,33,0.9779296875,-124.140625,-2406.18487549,0.900000349331,33,1,1,CONVERGED_FEASIBLE,0.97802734375,-124.140625,-2406.40640259,0.899991381091,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.221527099609
1,2012-10-15 13:00:00,BASE,280,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0443359375,BINDING_VMIN,33,1.0443359375,162.968563435,-2520.83270598,0.900000179304,33,1,1,CONVERGED_FEASIBLE,1.04443359375,162.995411124,-2521.05086759,0.899991737644,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.219807380218
1,2012-10-15 13:00:00,BASE,290,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.15546875,BINDING_VMIN,33,1.15546875,501.531097684,-2650.84894971,0.900004406079,33,1,1,CONVERGED_FEASIBLE,1.15556640625,501.583977309,-2651.05711709,0.89999671405,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.214778753999
1,2012-10-15 13:00:00,BASE,300,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.33427734375,BINDING_VMIN,33,1.33427734375,932.075405121,-2809.03303412,0.900005899293,33,1,1,CONVERGED_FEASIBLE,1.334375,932.152709961,-2809.22488222,0.899999150574,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.20683744873
1,2012-10-15 13:00:00,BASE,310,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.628515625,BINDING_VMIN,33,1.628515625,1533.14004532,-3017.72309057,0.900005274025,33,1.00876083618,13,CONVERGED_FEASIBLE,1.6287109375,1533.33880769,-3018.06248978,0.899993967856,33,1.00876321362,13,CONVERGED_INFEASIBLE,41,8,0,0.393317051559
1,2012-10-15 13:00:00,BASE,320,NaN,NaN,BASE_PREREGISTERED,RAY_UNBOUNDED_WITHIN_GUARD,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,NaN,RAY_UNBOUNDED_WITHIN_GUARD,,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,NaN,,,41,0,0,NaN
1,2012-10-15 13:00:00,BASE,330,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.702734375,BINDING_VMAX,13,1.702734375,2210.46847402,-2119.08575439,0.943860394511,33,1.04999208655,13,CONVERGED_FEASIBLE,1.703125,2211.00405766,-2119.52880859,0.943850564124,33,1.0500058724,13,CONVERGED_INFEASIBLE,41,7,0,0.695087664898
1,2012-10-15 13:00:00,BASE,340,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.345703125,BINDING_VMAX,13,1.345703125,1877.89460626,-1231.87804435,0.971262884497,33,1.04999100048,13,CONVERGED_FEASIBLE,1.34609375,1878.47574856,-1232.18111127,0.971259474012,33,1.05000922401,13,CONVERGED_INFEASIBLE,41,7,0,0.655420425633
1,2012-10-15 13:00:00,BASE,350,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1517578125,BINDING_VMAX,13,1.1517578125,1671.62338852,-641.501463719,0.988445883255,33,1.04999549975,13,CONVERGED_FEASIBLE,1.151953125,1671.92791014,-641.578399273,0.988446967525,33,1.050006329,13,CONVERGED_INFEASIBLE,41,8,0,0.314089953147
2,2011-12-15 05:30:00,BASE,0,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.038671875,BINDING_VMAX,13,1.038671875,1519.97241211,-188.125,0.999429529157,22,1.04999607898,13,CONVERGED_FEASIBLE,1.0388671875,1520.28161621,-188.125,0.999429683376,22,1.05000818596,13,CONVERGED_INFEASIBLE,41,8,0,0.309204101563
2,2011-12-15 05:30:00,BASE,10,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9751953125,BINDING_VMAX,13,0.9751953125,1396.02643623,196.01422263,0.999582705995,22,1.04999477709,13,CONVERGED_FEASIBLE,0.975390625,1396.33094283,196.091158184,0.99958290036,22,1.0500077246,13,CONVERGED_INFEASIBLE,41,8,0,0.314075383971
2,2011-12-15 05:30:00,BASE,20,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.948046875,BINDING_VMAX,13,0.948046875,1285.98776814,547.418418324,0.999719241657,22,1.04999605219,13,CONVERGED_FEASIBLE,0.9482421875,1286.27832495,547.569951785,0.999719468174,22,1.05000939431,13,CONVERGED_INFEASIBLE,41,8,0,0.327697499287
2,2011-12-15 05:30:00,BASE,30,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9521484375,BINDING_VMAX,13,0.9521484375,1181.04570867,891.819610596,0.99984989893,22,1.04999898489,13,CONVERGED_FEASIBLE,0.95224609375,1181.17959798,891.930374146,0.999850023936,22,1.05000562827,13,CONVERGED_INFEASIBLE,41,9,0,0.173766825213
2,2011-12-15 05:30:00,BASE,40,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9880859375,BINDING_VMAX,13,0.9880859375,1073.9203999,1252.62634362,0.999983544655,22,1.04999997689,13,CONVERGED_FEASIBLE,0.98818359375,1074.03883194,1252.76873849,0.999983676767,22,1.05000636952,13,CONVERGED_INFEASIBLE,41,9,0,0.185209203141
2,2011-12-15 05:30:00,BASE,50,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0623046875,BINDING_VMAX,13,1.0623046875,956.640202931,1657.86728857,1,1,1.04999047177,13,CONVERGED_FEASIBLE,1.0625,956.838955497,1658.20668778,1,1,1.05000232239,13,CONVERGED_INFEASIBLE,41,8,0,0.393312095106
2,2011-12-15 05:30:00,BASE,60,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.004296875,BINDING_VMAX,30,1.004296875,670.588745117,1784.84081812,1,1,1.04999907482,30,CONVERGED_FEASIBLE,1.00439453125,670.666046143,1785.03266621,1,1,1.05000529087,30,CONVERGED_INFEASIBLE,41,9,0,0.206836023029
2,2011-12-15 05:30:00,BASE,70,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9791015625,BINDING_VMAX,30,0.9791015625,405.769958071,1898.96115997,0.999967182207,22,1.04999870489,30,CONVERGED_FEASIBLE,0.97919921875,405.822835087,1899.16932735,0.999967313792,22,1.05000508468,30,CONVERGED_INFEASIBLE,41,9,0,0.214778111564
2,2011-12-15 05:30:00,BASE,80,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.98564453125,BINDING_VMAX,30,0.98564453125,146.585355705,2013.78008126,0.999885861824,22,1.0499957275,30,CONVERGED_FEASIBLE,0.9857421875,146.612202069,2013.99824286,0.999885985015,22,1.0500020604,30,CONVERGED_INFEASIBLE,41,9,0,0.219807218405
2,2011-12-15 05:30:00,BASE,90,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0251953125,BINDING_VMAX,30,1.0251953125,-124.375,2137.4664917,0.999798598444,22,1.04999340891,30,CONVERGED_FEASIBLE,1.025390625,-124.375,2137.9095459,0.999798819059,22,1.05000555887,30,CONVERGED_INFEASIBLE,41,8,0,0.443054199219
2,2011-12-15 05:30:00,BASE,100,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1052734375,BINDING_VMAX,30,1.1052734375,-428.222152072,2281.02804763,0.996773308236,18,1.04999495243,30,CONVERGED_FEASIBLE,1.10546875,-428.275844801,2281.46437084,0.996776000512,18,1.05000617139,30,CONVERGED_INFEASIBLE,41,8,0,0.43961443681
2,2011-12-15 05:30:00,BASE,110,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.2435546875,BINDING_VMAX,30,1.2435546875,-797.710916226,2462.6784272,0.9815900573,18,1.04999123519,30,CONVERGED_FEASIBLE,1.24375,-797.816670257,2463.09476196,0.981589972782,18,1.05000111707,30,CONVERGED_INFEASIBLE,41,8,0,0.429556223129
2,2011-12-15 05:30:00,BASE,120,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.481640625,BINDING_VMAX,30,1.481640625,-1297.18615723,2722.59431082,0.960052238872,18,1.04999175411,30,CONVERGED_FEASIBLE,1.48203125,-1297.49536133,2723.3617032,0.960045847226,18,1.05000801843,30,CONVERGED_INFEASIBLE,41,7,0,0.827344092116
2,2011-12-15 05:30:00,BASE,130,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.9375,BINDING_VMAX,30,1.9375,-2096.00044826,3178.71513654,0.922706422741,18,1.04999748362,30,CONVERGED_FEASIBLE,1.937890625,-2096.39795339,3179.39393495,0.922692361982,18,1.05000922087,30,CONVERGED_INFEASIBLE,41,7,0,0.786624190212
2,2011-12-15 05:30:00,BASE,140,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.8095703125,BINDING_VMIN,18,1.8095703125,-2318.92073633,2450.45203076,0.900005201991,18,1.02618728229,30,CONVERGED_FEASIBLE,1.809765625,-2319.15760041,2450.73682051,0.899994805406,18,1.02619118105,30,CONVERGED_INFEASIBLE,41,8,0,0.370418406281
2,2011-12-15 05:30:00,BASE,150,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.424609375,BINDING_VMIN,18,1.424609375,-2077.55215878,1427.69366455,0.900003793656,18,1.00058342438,30,CONVERGED_FEASIBLE,1.4248046875,-2077.81993739,1427.91519165,0.899991107336,18,1.0005853796,30,CONVERGED_INFEASIBLE,41,8,0,0.347533650426
2,2011-12-15 05:30:00,BASE,160,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1966796875,BINDING_VMIN,18,1.1966796875,-1904.61659052,740.320513818,0.900007990864,18,1,1,CONVERGED_FEASIBLE,1.196875,-1904.90714734,740.472047279,0.899993226092,18,1,1,CONVERGED_INFEASIBLE,41,8,0,0.327697499288
2,2011-12-15 05:30:00,BASE,170,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.05517578125,BINDING_VMIN,18,1.05517578125,-1769.47188749,227.519332117,0.900002451419,18,1,1,CONVERGED_FEASIBLE,1.0552734375,-1769.62414079,227.557799894,0.899994192226,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.157037691986
2,2011-12-15 05:30:00,BASE,180,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9671875,BINDING_VMIN,18,0.9671875,-1655.55371094,-188.125,0.90000084818,18,1,1,CONVERGED_FEASIBLE,0.96728515625,-1655.70831299,-188.125,0.899991914736,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.154602050781
