timestamp,cell_index,cell_vertex_index_ccw,p13_abs_kw,p30_abs_kw,vertex_role,triangle_indices,primary_classes,binding_families,cell_area_kw2,cell_irredundant_facet_count,cell_convex,ac_certification_status
2010-07-01 07:30:00,15,8,-1087.45894057,-191.525381621,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,9,-974.851951258,-570.639602661,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,10,-854.132229337,-962.291386337,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,11,-788.100927089,-1169.68513325,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,12,-705.419628652,-1370.08404438,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,13,-399.673339844,-1508.02972468,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,14,-115.922654242,-1630.89774535,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,15,0,-1680,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,16,162.695553644,-1747.31622207,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,17,452.1875,-1863.75427246,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,18,771.080338226,-1987.20205277,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,19,1145.70381545,-2126.59426331,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,20,1366.40324789,-2205.89633478,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,21,1619.69946289,-2294.58786252,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,22,1917.38402559,-2395.76625866,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,23,2277.00565662,-2514.04854636,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,24,2610.03237304,-1559.06384919,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,25,2399.7813744,-1003.02236938,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,16,0,452.1875,614.6875,PRODUCTION_CENTER,45,VMAX_BUS_13,VMAX,279918.29765264,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,16,1,2399.7813744,-1003.02236938,ANGULAR_POLYGON_BOUNDARY,45,VMAX_BUS_13,VMAX,279918.29765264,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,16,2,2251.51557524,-592.419495542,ANGULAR_POLYGON_BOUNDARY,45,VMAX_BUS_13,VMAX,279918.29765264,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
