timestamp,angular_polygon_area_kw2,angular_polygon_vertex_count,concave_vertex_count,kernel_area_ratio,kernel_inward_boundary_retention_fraction,kernel_circular_angular_coverage_deg,kernel_largest_angular_gap_deg,kernel_all_signed_axis_endpoints_retained,initial_fan_triangle_count,merged_convex_cell_count,piecewise_exact_area_ratio,vmax_concavity_depth_median_kw,vmax_concavity_depth_max_kw,vmin_concavity_depth_median_kw,vmin_concavity_depth_max_kw,vmax_positive_hull_deficit_median_kw,vmax_positive_hull_deficit_max_kw,vmin_positive_hull_deficit_median_kw,vmin_positive_hull_deficit_max_kw,exact_piecewise_partition_verified
2011-02-05 18:00:00,16267083.2930647,54,27,0.944080328768109,0.425925925925926,154.999999999968,205.000000000032,false,54,28,1,0.579749883755915,8.32106336473032,,,46.5562177798186,61.2399157891328,,,true
2011-02-06 00:00:00,15800888.0986017,51,22,0.959730966558408,0.490196078431373,165.000000000014,194.999999999986,false,51,23,1,1.06104288501719,3.72098964637613,,,38.2074653957218,45.8319642149348,,,true
2011-03-04 18:00:00,16197615.4193951,53,22,0.946171748976144,0.509433962264151,174.999999999899,185.000000000101,false,53,23,1,1.25349104705928,5.1273111628908,,,47.5198781657021,58.7260714378725,,,true
2011-03-08 11:30:00,16214321.4550102,53,22,0.936474107706605,0.509433962264151,174.999999999891,185.000000000109,false,53,23,1,1.2540214053158,6.48640729598361,,,52.4741072030751,68.6579990169898,,,true
2011-03-08 12:30:00,16208908.5693266,53,22,0.937926913360113,0.509433962264151,174.999999999982,185.000000000018,false,53,23,1,1.3431430955616,6.16968489393013,,,51.5278734485146,67.304529341371,,,true
2011-05-11 17:30:00,16267237.2337561,53,24,0.93893904690408,0.471698113207547,164.999999999959,195.000000000041,false,53,25,1,1.03354167752657,7.21245917489852,,,54.6974000644889,64.0518400902707,,,true
2011-05-11 18:00:00,16262490.8430058,53,24,0.939886744415657,0.471698113207547,165.000000000069,194.999999999931,false,53,25,1,0.919380331219426,7.10047927311258,,,53.3385322294196,63.3386390285659,,,true
2011-05-16 07:30:00,16226390.0806935,53,22,0.951936400089267,0.433962264150943,175.000000000006,184.999999999994,false,53,22,1,1.19459401878506,4.40815634527581,0.0186883110671024,0.0186883110671024,43.3163285469255,52.0353326727742,0.0186883110671024,0.0186883110671024,true
2011-09-11 00:00:00,16204370.4105374,53,22,0.939514470841161,0.509433962264151,175.000000000087,184.999999999913,false,53,23,1,1.33157014715264,6.09652877697796,,,50.8786951876935,66.0570168615828,,,true
2011-09-30 05:30:00,15990355.8233353,52,21,0.950685906807483,0.519230769230769,175.000000000012,184.999999999988,false,52,22,1,1.26114721966418,5.51830205975066,,,42.6504354222406,59.4842230872376,,,true
2011-09-30 11:30:00,16206655.563008,53,21,0.938763186976191,0.509433962264151,175.00000000004,184.99999999996,false,53,22,1,1.38380337036638,6.20661094370417,,,51.1613657650311,66.7796478566668,,,true
2011-11-14 17:30:00,16265889.1760166,53,24,0.939683769224843,0.471698113207547,164.999999999935,195.000000000065,false,53,25,1,1.06067216449714,7.28586141087993,,,54.4653095952898,63.9898607138197,,,true
2011-11-14 19:30:00,16247865.9112606,53,24,0.942355133434637,0.471698113207547,164.999999999925,195.000000000075,false,53,25,1,0.895778551792723,6.80483921373453,,,51.789624561436,63.5717058868449,,,true
2011-12-15 05:30:00,15989694.7117428,52,21,0.950285395683967,0.519230769230769,175.000000000052,184.999999999948,false,52,22,1,1.38342368423459,5.61096761121523,,,43.228672439705,61.956068935446,,,true
2012-08-04 03:30:00,15989260.689368,52,21,0.949470708861381,0.519230769230769,175.000000000018,184.999999999982,false,52,22,1,1.27090943496736,5.85450402101176,,,43.9425101478904,62.8390352753882,,,true
2012-08-05 23:30:00,16205190.0455788,53,22,0.938806413532202,0.509433962264151,174.99999999997,185.00000000003,false,53,23,1,1.32935118739169,6.15213025621518,,,50.954460100884,66.3867229918945,,,true
2012-08-24 12:00:00,16214342.3706549,53,22,0.936539409335022,0.509433962264151,174.999999999945,185.000000000055,false,53,23,1,1.28653561525851,6.38126985176622,,,52.4853172083463,68.7013299326007,,,true
2012-08-31 11:30:00,16218622.043489,53,22,0.935952103644769,0.509433962264151,175.000000000005,184.999999999995,false,53,23,1,1.33150049903274,6.46161863753984,,,53.0387921816847,69.5784528982857,,,true
