timestamp,cell_id,vertex_index_ccw,p13_abs_kw,p30_abs_kw
2011-09-30 11:30:00,16,10,-1295.5190834148,-1108.48048050324
2011-09-30 11:30:00,16,11,-1188.17953432415,-1453.14428818129
2011-09-30 11:30:00,16,12,-1065.38603536204,-1833.14460883318
2011-09-30 11:30:00,16,13,-957.203073021506,-1921.51082790722
2011-09-30 11:30:00,16,14,-809.97656340335,-1988.16543471845
2011-09-30 11:30:00,16,15,-552.09212300532,-2102.04314689387
2011-09-30 11:30:00,16,16,-298.306298579026,-2210.29641232384
2011-09-30 11:30:00,16,17,-33.993208585021,-2319.11751232374
2011-09-30 11:30:00,16,18,1.29846338170228,-2333.31226003071
2011-09-30 11:30:00,16,19,257.961855459062,-2435.15323274907
2011-09-30 11:30:00,16,20,602.04249771199,-2566.60539809006
2011-09-30 11:30:00,16,21,805.361298094176,-2641.89348189143
2011-09-30 11:30:00,16,22,1039.2971706619,-2726.46395065381
2011-09-30 11:30:00,16,23,1314.9485666444,-2823.22549527675
2011-09-30 11:30:00,16,24,1649.03439729156,-2936.86183019352
2011-09-30 11:30:00,16,25,2068.82423735134,-3074.20232604978
2011-09-30 11:30:00,16,26,2504.59442100732,-2623.24942858204
2011-09-30 11:30:00,17,0,2048.66568706293,-1457.34872104941
2011-09-30 11:30:00,17,1,-35.3125,-64.0625
2011-09-30 11:30:00,17,2,2231.54755595619,-1940.51989359199
2011-09-30 11:30:00,18,0,1912.5093783584,-1080.52119006971
2011-09-30 11:30:00,18,1,-35.3125,-64.0625
2011-09-30 11:30:00,18,2,2049.49501512524,-1457.90318527995
2011-09-30 11:30:00,19,0,1803.85360729974,-770.620849426211
2011-09-30 11:30:00,19,1,-35.3125,-64.0625
2011-09-30 11:30:00,19,2,1912.89433174719,-1080.72207559301
2011-09-30 11:30:00,20,0,1713.35063218961,-506.141158912549
2011-09-30 11:30:00,20,1,-35.3125,-64.0625
2011-09-30 11:30:00,20,2,1803.88790409124,-770.634025334735
2011-09-30 11:30:00,21,0,1565.949421449,-64.0625
2011-09-30 11:30:00,21,1,-35.3125,-64.0625
2011-09-30 11:30:00,21,2,1713.08813148854,-506.074796240543
