selection_index,slot_index,timestamp,season,daypart,stress_mode,rank_within_slot,load_multiplier,pv_factor,selection_basis,mandatory_anchor,dense_probe,profile_row_sha256
20,19,2012-08-31 11:30:00,WINTER,MORNING,EXPORT,1,0.1751735882091934,0.85508571513354303,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,e4d6fcddf311af5f304e7d3a4f0ba7f4e5fd238ade7f7ee9250a655e9b66945b
21,20,2010-07-01 07:30:00,WINTER,MORNING,IMPORT,1,0.4897837792461659,0.043944780778511917,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,b54546ce8200abbe913a0edfca97624d51dfcfbf2f863863d2782203824865a2
22,21,2012-08-24 12:00:00,WINTER,AFTERNOON,EXPORT,1,0.18466427620612333,0.84688297372692045,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,d56a155d04b6d5d968e14a3a07a2fb8f9d9e1c471a233109247020fe5baa41ec
23,22,2010-07-02 17:30:00,WINTER,AFTERNOON,IMPORT,1,0.73695659994963236,3.8337801701021076e-05,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,56e2e193a3e0c364641aec2f3deab4f2b2054535cb5986a607037ade65bc5b30
24,23,2012-08-05 23:30:00,WINTER,EVENING,EXPORT,1,0.2136592034729636,0.00043102640650532001,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,9b8c41e10836e2a89e45755786a3859dc2d07f3b81990d88278d806f3a36b575
25,24,2010-07-02 18:00:00,WINTER,EVENING,IMPORT,1,0.70098216748414055,5.4141170341136635e-06,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,34a5520903a1cc91bb17f6581d25d7e5f84c0256cb304dc7d9ecc7eb29c3d8d8
26,25,2011-09-30 05:30:00,SPRING,NIGHT,EXPORT,1,0.16820847374290968,0.0073311572869616962,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,f0337c8a549a3b42b4b18fe954bb2cc197a91fb3cf42442cb33840413db1b6f5
27,26,2011-09-11 00:00:00,SPRING,NIGHT,IMPORT,1,0.21620156619137276,9.7454106614045939e-05,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,f14deda1efec76b3aefe990c92005e028d5c425718fc30049c31009793ff93e5
28,27,2011-09-30 11:30:00,SPRING,MORNING,EXPORT,1,0.20798445800904228,0.96907542579470729,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,e681e3d3fa373c991a50e4d88c780f9111061aefe1912ecd2798c1f6118c4d0f
29,28,2012-09-03 07:00:00,SPRING,MORNING,IMPORT,1,0.35467398995047228,0.13524387132260485,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,40ad52a0c23e0fa9dbd762682a0b13578ce2716d044cbce434b2945c244f4b47
30,30,2011-11-14 17:30:00,SPRING,AFTERNOON,IMPORT,1,0.59709786897238293,0.15856731696033283,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,0aefce122ad6827cfddf1e74394a14bc69299efd1b18c87f20aa5ca6e93c00ec
31,31,2010-11-26 18:00:00,SPRING,EVENING,EXPORT,1,0.31058798134001725,0.11852944976455948,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,4ca8a9db624451e42627aff2f770a377b70edc23b5a847acbb6b497e546b87db
