timestamp,comparator,input_inward_physical_boundary_row_count,guard_truncation_input_count,duplicate_point_pair_count_at_tolerance,duplicate_point_tolerance_kw,duplicate_angle_group_count,duplicate_angle_nonselected_row_count,duplicate_angle_tolerance_deg,duplicate_angle_rule,polygon_vertex_count,zero_length_edge_count,self_intersection_count,orientation,is_simple,is_convex,production_center_location,contains_production_center,input_inward_inside_count,input_inward_boundary_count,input_inward_outside_count,all_input_inward_on_or_inside,polygon_area_kw2,construction_status,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,ray_angle_convention
2011-02-05 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,54,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,54,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,54,0,true,16267083.2930647,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,1366.015625,1887.34375,1613.515625,1613.515625,2336.09375,2336.09375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-06 00:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,51,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,51,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,51,0,true,15800888.0986017,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,461.953125,628.59375,1595.234375,1595.234375,2295.15625,2295.15625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-04 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16197615.4193951,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,140.703125,181.09375,1588.671875,1588.671875,2280.46875,2280.46875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-08 11:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16214321.4550102,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-74.53125,-118.75,1584.21875,1584.21875,2270.625,2270.625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-08 12:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16208908.5693266,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-47.03125,-80.390625,1584.84375,1584.84375,2271.953125,2271.953125,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-11 17:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16267237.2337561,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,638.359375,874.0625,1598.828125,1598.828125,2303.125,2303.125,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-11 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16262490.8430058,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,649.453125,889.765625,1598.984375,1598.984375,2303.671875,2303.671875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-16 07:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16226390.0806935,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,302.109375,405.859375,1591.953125,1591.953125,2287.890625,2287.890625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-09-11 00:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16204370.4105374,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-21.25,-44.609375,1585.3125,1585.3125,2273.046875,2273.046875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-09-30 05:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,52,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,52,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,52,0,true,15990355.8233353,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-103.28125,-158.75,1583.59375,1583.59375,2269.375,2269.375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-09-30 11:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16206655.563008,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-35.3125,-64.0625,1585,1585,2272.5,2272.5,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-11-14 17:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16265889.1760166,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,640.859375,877.65625,1598.828125,1598.828125,2303.28125,2303.28125,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
