timestamp,alpha_outward_exclusion_sup,outward_endpoint_count,limiting_outward_endpoint_count_at_gauge_tolerance,gauge_comparison_tolerance,strict_exclusion_interpretation,limiting_endpoint_id,limiting_primary_class,limiting_constraint_id,limiting_constraint_category,limiting_p13_abs_kw,limiting_p30_abs_kw,center_p13_abs_kw,center_p30_abs_kw,centered_p13_kw,centered_p30_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,normalized_x,normalized_y,normalized_ray_angle_deg,limiting_alpha1_raw_slack_kw,limiting_alpha1_perpendicular_distance_kw,coordinate_semantics,units,ray_angle_convention
2011-02-05 18:00:00,0.877482551400515,54,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-02-05 18:00:00|RAY|10.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,2282.17499255,2121.23118425,1366.015625,1887.34375,916.15936755,233.88743425,1613.515625,1613.515625,2336.09375,2336.09375,0.56780322009587,0.100119027436292,10.0000000000238,131.904884009187,131.904884009187,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-06 00:00:00,0.920774509861555,51,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-02-06 00:00:00|RAY|145.000000|ADAPTIVE,VMIN_BUS_18,VMIN_BUS_18,PHYSICAL_CANDIDATE_FACET,-1897.57942812,3005.6557681,461.953125,628.59375,-2359.53255312,2377.0620181,1595.234375,1595.234375,2295.15625,2295.15625,-1.47911340809716,1.03568635821635,145.000000000009,135.607620346496,135.607620346496,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-04 18:00:00,0.905639630544916,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-03-04 18:00:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1356.91552625,1189.04312134,140.703125,181.09375,1216.21240125,1007.94937134,1588.671875,1588.671875,2280.46875,2280.46875,0.765552925301205,0.441992187500925,29.9999999999646,151.572625460293,151.572625460293,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-08 11:30:00,0.894094729197158,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-03-08 11:30:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1214.23973178,947.712005615,-74.53125,-118.75,1288.77098178,1066.462005615,1584.21875,1584.21875,2270.625,2270.625,0.813505699121412,0.469677734374897,29.9999999999923,182.538943108504,182.538943108504,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-08 12:30:00,0.895521667262226,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-03-08 12:30:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1232.46364245,978.59690094,-47.03125,-80.390625,1279.49489245,1058.98752594,1584.84375,1584.84375,2271.953125,2271.953125,0.807331885209504,0.466113281250026,29.9999999999441,178.505206466175,178.505206466175,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-11 17:30:00,0.88403984386504,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-05-11 17:30:00|RAY|20.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1767.21869028,1465.92581124,638.359375,874.0625,1128.85931528,591.86331124,1598.828125,1598.828125,2303.125,2303.125,0.706054201592182,0.256982713157124,19.999999999927,164.146692029964,164.146692029964,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-11 18:00:00,0.884876026095012,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-05-11 18:00:00|RAY|20.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1774.02074811,1479.46116648,649.453125,889.765625,1124.56762311,589.69554148,1598.984375,1598.984375,2303.671875,2303.671875,0.703301195866908,0.25598070101889,19.9999999999648,162.193160023799,162.193160023799,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-16 07:30:00,0.913734936899013,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-05-16 07:30:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1463.20957189,1369.27581787,302.109375,405.859375,1161.10019689,963.41644287,1591.953125,1591.953125,2287.890625,2287.890625,0.729355769749816,0.421093749999522,29.9999999999681,131.148777419027,131.148777419027,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-09-11 00:00:00,0.896999457874606,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-09-11 00:00:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1249.64035074,1007.45172501,-21.25,-44.609375,1270.89035074,1052.06110001,1585.3125,1585.3125,2273.046875,2273.046875,0.801665508055983,0.462841796876714,30.0000000000297,174.515358744436,174.515358744436,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-09-30 05:30:00,0.910100176128113,52,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-09-30 05:30:00|RAY|140.000000|BASE,VMIN_BUS_18,VMIN_BUS_18,PHYSICAL_CANDIDATE_FACET,-2309.13881264,2493.73833719,-103.28125,-158.75,-2205.85756264,2652.48833719,1583.59375,1583.59375,2269.375,2269.375,-1.39294409480967,1.168818876206,139.999999999985,133.318958749842,133.318958749842,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
