timestamp,search_kind,search_id,level,binding_class,maximum_constraint_violation_kw,inside_at_internal_enumeration_tolerance,interpretation
2010-07-01 07:30:00,RAY,55.000000,ADAPTIVE,VMAX_BUS_30,-119.750018826551,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,60.000000,BASE,VMAX_BUS_30,-121.175153844883,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,70.000000,BASE,VMAX_BUS_30,-122.314956022012,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,80.000000,BASE,VMAX_BUS_30,-121.295173707026,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,90.000000,BASE,VMAX_BUS_30,-117.216310449588,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,AXIS,P13_NEGATIVE,AXIS,VMIN_BUS_18,-0.146987406688709,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,AXIS,P13_POSITIVE,AXIS,VMAX_BUS_13,-85.9503208449314,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,AXIS,P30_NEGATIVE,AXIS,VMIN_BUS_33,0,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,AXIS,P30_POSITIVE,AXIS,VMAX_BUS_30,-106.192340118549,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,0.000000,BASE,VMAX_BUS_13,-120.32884232187,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,10.000000,BASE,VMAX_BUS_13,-122.829314492328,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,100.000000,BASE,VMAX_BUS_30,-132.654269750571,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,105.000000,ADAPTIVE,VMAX_BUS_30,-128.798563620342,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,110.000000,BASE,VMAX_BUS_30,-123.216974159858,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,115.000000,ADAPTIVE,VMAX_BUS_30,-115.245380270013,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,120.000000,BASE,VMAX_BUS_30,-103.330693391288,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,125.000000,ADAPTIVE,VMAX_BUS_30,-85.3223651296512,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,130.000000,BASE,VMAX_BUS_30,-55.5681915458918,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,135.000000,ADAPTIVE,VMAX_BUS_30,0,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,145.000000,ADAPTIVE,VMIN_BUS_18,-84.5615224945595,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,150.000000,BASE,VMIN_BUS_18,-128.681490587714,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,155.000000,ADAPTIVE,VMIN_BUS_18,-98.1854868823789,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,160.000000,BASE,VMIN_BUS_18,-75.1036146891446,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,165.000000,ADAPTIVE,VMIN_BUS_18,-57.1341660981108,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,170.000000,BASE,VMIN_BUS_18,-43.0667000840887,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,180.000000,BASE,VMIN_BUS_18,-22.9229330760353,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-02 17:30:00,RAY,190.000000,BASE,VMIN_BUS_18,-10.1022288593803,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
