timestamp,polygon_vertex_count,kernel_empty,kernel_vertex_count,kernel_area_kw2,production_center_location_in_kernel,production_center_in_polygon_kernel,nearest_kernel_boundary_distance_kw,signed_distance_to_kernel_boundary_kw,minimum_center_signed_polygon_edge_halfplane_distance_kw,center_satisfies_every_ccw_edge_left_halfplane,every_radial_segment_center_to_every_polygon_boundary_point_inside,visibility_verification_basis,kernel_method,halfplane_tolerance_kw,polygon_boundary_tolerance_kw,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,coordinate_semantics,units
2011-09-30 11:30:00,53,false,32,15214211.6265548,INSIDE,true,1407.55076179123,1407.55076179123,1407.55076179123,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-35.3125,-64.0625,1585,1585,2272.5,2272.5,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2011-11-14 17:30:00,53,false,30,15284792.0507129,INSIDE,true,1125.77936224081,1125.77936224081,1125.77936224081,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,640.859375,877.65625,1598.828125,1598.828125,2303.28125,2303.28125,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2011-11-14 19:30:00,53,false,30,15311259.8488341,INSIDE,true,1112.36010930616,1112.36010930616,1112.36010930616,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,688.515625,943.984375,1599.765625,1599.765625,2305.390625,2305.390625,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2011-12-15 05:30:00,52,false,32,15194773.3660144,INSIDE,true,1472.61671327647,1472.61671327647,1472.61671327647,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-124.375,-188.125,1583.125,1583.125,2268.4375,2268.4375,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2012-08-04 03:30:00,52,false,32,15181334.6809037,INSIDE,true,1469.21781579626,1469.21781579626,1469.21781579626,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-133.046875,-200.15625,1583.046875,1583.046875,2267.96875,2267.96875,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2012-08-05 23:30:00,53,false,32,15213536.3472975,INSIDE,true,1404.83061817552,1404.83061817552,1404.83061817552,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-25.703125,-50.625,1585.234375,1585.234375,2272.8125,2272.8125,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2012-08-24 12:00:00,53,false,32,15185370.6265689,INSIDE,true,1420.29628638827,1420.29628638827,1420.29628638827,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-75.15625,-119.6875,1584.21875,1584.21875,2270.625,2270.625,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2012-08-31 11:30:00,53,false,32,15179853.419823,INSIDE,true,1425.31712735766,1425.31712735766,1425.31712735766,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-91.40625,-142.109375,1583.90625,1583.90625,2269.921875,2269.921875,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2012-09-03 07:00:00,53,false,32,15385401.907105,INSIDE,true,1328.32182882671,1328.32182882671,1328.32182882671,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,216.953125,287.265625,1590.234375,1590.234375,2283.984375,2283.984375,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2012-10-15 13:00:00,52,false,32,15184718.3160193,INSIDE,true,1472.6836485525,1472.6836485525,1472.6836485525,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-124.140625,-187.8125,1583.203125,1583.203125,2268.4375,2268.4375,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
