rank,date,complete_48_intervals,stress_index,critical_slot,critical_time,daily_pv_energy_index,daily_load_energy_index,max_pv_profile,min_load_multiplier_during_active_pv
235,2013-04-10,True,4.244491052648428,21,2013-04-10 10:30:00,5.027170525912273,4.4977790303044864,0.7330792140833249,0.15630973652967506
236,2013-04-29,True,4.244328435948749,23,2013-04-29 11:30:00,4.4213325551148674,4.663764135896485,0.7140796772980758,0.1668845263650211
237,2011-09-26,True,4.2438748770475,23,2011-09-26 11:30:00,5.280177413514286,5.181009030184563,0.8101873546559367,0.17414704930025074
238,2010-10-13,True,4.243539950959872,28,2010-10-13 14:00:00,3.923851391720241,4.705623178672937,0.7242114123557621,0.16610023145094566
239,2010-12-08,True,4.241921140534194,22,2010-12-08 11:00:00,7.039765320925536,5.657437010565197,0.9122694169130676,0.19010637149675624
240,2012-09-09,True,4.240940259713596,23,2012-09-09 11:30:00,5.7085209284979275,5.233312146977349,0.8502020497395536,0.18124407881324428
241,2013-01-04,True,4.238705707051901,23,2013-01-04 11:30:00,7.284808986327947,5.265916749613251,0.939091665778746,0.16531113962608088
242,2012-01-03,True,4.231181662351461,23,2012-01-03 11:30:00,7.41207051600719,5.564881816110427,0.9574440631123652,0.16847470229172412
243,2012-03-16,True,4.225235157452712,23,2012-03-16 11:30:00,5.653370104213299,5.300956983702497,0.8476801344924215,0.1825344478156069
244,2011-03-07,True,4.223953463851934,28,2011-03-07 14:00:00,5.377295268818094,4.830733807428018,0.8037197648260892,0.18132802475205964
245,2010-10-30,True,4.223794399909662,27,2010-10-30 13:30:00,6.427274228776501,4.921143583532206,0.9135968224684662,0.1863815702687469
246,2012-03-14,True,4.219861131180719,23,2012-03-14 11:30:00,4.975197950282245,4.668674973317185,0.7243895797747311,0.16633288162423404
247,2011-10-10,True,4.219558763713935,26,2011-10-10 13:00:00,5.382662584996973,4.967795939415019,0.781529462410883,0.16389605094319268
248,2011-09-18,True,4.210032660093952,23,2011-09-18 11:30:00,5.575527325932441,4.921733603559309,0.8404817981114092,0.16936932615395697
249,2010-11-20,True,4.206240500864484,25,2010-11-20 12:30:00,7.041811197884689,4.872596447887561,0.9024498538450856,0.17286147720867776
250,2011-08-26,True,4.203954755299608,23,2011-08-26 11:30:00,4.9864901263463475,5.2958242891577845,0.7644324074934574,0.15919028145874053
251,2012-05-10,True,4.20031955167159,22,2012-05-10 11:00:00,4.1673346914448945,4.815496420305325,0.6796410901325639,0.156422463933227
252,2011-12-29,True,4.200134015056121,26,2011-12-29 13:00:00,6.191099813315131,4.683929149627642,0.8583712548836198,0.1656733063906845
253,2011-04-11,True,4.197361176245674,21,2011-04-11 10:30:00,4.699942405801822,4.910615563577059,0.8215192253731353,0.18305011572547275
254,2012-05-08,True,4.196888031819392,22,2012-05-08 11:00:00,4.383116097446763,5.294454771127397,0.7240199549804989,0.159869044335448
255,2012-09-22,True,4.195957961768069,26,2012-09-22 13:00:00,6.032885983893266,4.840082986556659,0.8396287136213855,0.1805485267487739
256,2012-01-02,True,4.19544650162574,27,2012-01-02 13:30:00,7.550044616989923,5.149092784246947,0.9702596731710038,0.15741302601124876
257,2012-11-26,True,4.19501490997784,23,2012-11-26 11:30:00,4.809212622932976,5.236843872546082,0.8130092638278751,0.17139602096250026
258,2010-08-24,True,4.193109840638329,23,2010-08-24 11:30:00,5.024675028279637,6.550968376365623,0.7881157798256875,0.18795495700768725
259,2010-09-13,True,4.185904837834094,23,2010-09-13 11:30:00,4.438156909562345,5.3866777795099985,0.7717823224215298,0.17605621979445268
260,2011-01-06,True,4.180821527188277,27,2011-01-06 13:30:00,5.788875767640252,4.980734407041867,0.8555775724376357,0.1830261311715255
261,2010-08-17,True,4.178640794268153,25,2010-08-17 12:30:00,5.06339632196801,6.827173300394549,0.7884476328190314,0.18091788887956173
262,2013-04-24,True,4.174305085063463,24,2013-04-24 12:00:00,4.9939750032728885,4.760680921486564,0.7834800254995173,0.1578567402592731
263,2011-09-04,True,4.16068767184761,26,2011-09-04 13:00:00,5.503275841615698,5.572325422427959,0.8307671042234525,0.18511758427572644
264,2010-08-31,True,4.159506885602579,23,2010-08-31 11:30:00,5.190858985065009,5.839690839099621,0.8117989477862323,0.15532157290704776
265,2011-01-05,True,4.156532256956319,26,2011-01-05 13:00:00,5.2758160475747005,4.7994087807452015,0.8455226121799239,0.15711561754230283
266,2011-11-08,True,4.1550337808167574,22,2011-11-08 11:00:00,5.82776929586989,5.792056315732669,0.8577829295473934,0.18338350102533965
