datetime,load_kw_mean,gc_customer_count,pv_shape_mean,gg_customer_count,load_multiplier,pv_profile,date,slot
2012-08-17 19:00:00,1.3938662207357857,299,0.00014926817995871704,299,0.4997973305191458,0.00018122884750044335,2012-08-17,38
2012-08-17 19:30:00,1.344896321070234,299,0.0,299,0.4822382385743583,0.0,2012-08-17,39
2012-08-17 20:00:00,1.2785484949832775,299,3.987146698144141e-05,299,0.4584479595140731,4.840857583442805e-05,2012-08-17,40
2012-08-17 20:30:00,1.281652173913043,299,8.787461472883468e-05,299,0.45956084281722576,0.00010668995331929866,2012-08-17,41
2012-08-17 21:00:00,1.2357324414715727,299,6.72511976859803e-05,299,0.4430954465324336,8.165073797393037e-05,2012-08-17,42
2012-08-17 21:30:00,1.142836120401338,299,7.28342416321956e-05,299,0.4097856980104815,8.842919953349895e-05,2012-08-17,43
2012-08-17 22:00:00,1.0450234113712373,299,0.0002043905573317338,299,0.37471308477340604,0.0002481537937653419,2012-08-17,44
2012-08-17 22:30:00,0.8787023411371229,299,1.9014996223972383e-05,299,0.3150754913835488,2.3086406304738706e-05,2012-08-17,45
2012-08-17 23:00:00,0.7232642140468224,299,6.426650927929701e-05,299,0.25934018492091093,7.802698078575574e-05,2012-08-17,46
2012-08-17 23:30:00,0.6689832775919736,299,2.376996215268162e-05,299,0.23987671939271132,2.885948530524759e-05,2012-08-17,47
2012-08-18 00:00:00,0.6096187290969893,299,0.0003539576365663322,299,0.2185904277645195,0.000429745539582772,2012-08-18,0
2012-08-18 00:30:00,0.5261337792642143,299,0.0009401272214571447,299,0.18865530598294716,0.0011414232617801981,2012-08-18,1
2012-08-18 01:00:00,0.455150501672241,299,0.0013433012000786937,299,0.16320289733411697,0.0016309231371585923,2012-08-18,2
2012-08-18 01:30:00,0.42131103678929777,299,0.001773595810541744,299,0.15106911149219912,0.002153350598667389,2012-08-18,3
2012-08-18 02:00:00,0.4123678929765883,299,0.001870286576168929,299,0.1478623766294506,0.002270744379601789,2012-08-18,4
2012-08-18 02:30:00,0.43416053511705704,299,0.0021347778739083086,299,0.1556765443054674,0.002591867428576201,2012-08-18,5
2012-08-18 03:00:00,0.4251170568561872,299,0.002326054167486393,299,0.15243383261179805,0.0028240989882354654,2012-08-18,6
2012-08-18 03:30:00,0.4220133779264213,299,0.0024445771619684667,299,0.15132094930864526,0.002967999621968846,2012-08-18,7
2012-08-18 04:00:00,0.4034515050167226,299,0.0026287615338248253,299,0.1446652355882813,0.0031916207678041653,2012-08-18,8
2012-08-18 04:30:00,0.4175183946488296,299,0.002675089650792976,299,0.14970918728338964,0.003247868464046765,2012-08-18,9
2012-08-18 05:00:00,0.4709632107023409,299,0.0024304127245303717,299,0.1688728458872486,0.002950802355457604,2012-08-18,10
2012-08-18 05:30:00,0.5238394648829432,299,0.0019880057202307845,299,0.18783263578255613,0.002413669045883438,2012-08-18,11
2012-08-18 06:00:00,0.6182742474916393,299,0.0014047237917799297,299,0.2216940290452951,0.0017054972728356263,2012-08-18,12
2012-08-18 06:30:00,0.7793578595317732,299,0.0044250854630065815,299,0.2794536318610818,0.005372565933164348,2012-08-18,13
2012-08-18 07:00:00,0.8850969899665548,299,0.0501215331889092,299,0.3173684147409069,0.06085334260318201,2012-08-18,14
2012-08-18 07:30:00,0.9698193979933112,299,0.13728992329842132,299,0.347747250770504,0.16668585749272516,2012-08-18,15
2012-08-18 08:00:00,0.9242274247491635,299,0.2412165665968871,299,0.33139937880005277,0.29286483143599734,2012-08-18,16
2012-08-18 08:30:00,0.8467357859531767,299,0.35120295976415167,299,0.30361327305215435,0.4264010431051338,2012-08-18,17
2012-08-18 09:00:00,0.8369765886287625,299,0.4272336705189017,299,0.3001139266312496,0.5187111261284127,2012-08-18,18
2012-08-18 09:30:00,0.7843612040133784,299,0.5113380978175469,299,0.28124767649633664,0.6208236355274944,2012-08-18,19
2012-08-18 10:00:00,0.71410033444816,299,0.5631120343972276,299,0.2560543010301365,0.6836831871043382,2012-08-18,20
2012-08-18 10:30:00,0.7046755852842811,299,0.5995324023471429,299,0.2526748773789681,0.7279017292673813,2012-08-18,21
2012-08-18 11:00:00,0.6859130434782607,299,0.6086450321620989,299,0.24594720999676212,0.7389655166031643,2012-08-18,22
2012-08-18 11:30:00,0.6855518394648824,299,0.6328965752813298,299,0.24581769340544682,0.7684096969423436,2012-08-18,23
2012-08-18 12:00:00,0.67076254180602,299,0.6145718101792458,299,0.24051470852770823,0.7461613111103096,2012-08-18,24
2012-08-18 12:30:00,0.6077926421404684,299,0.4878081012801951,299,0.21793564944175964,0.5922554962540533,2012-08-18,25
2012-08-18 13:00:00,0.6605418060200666,299,0.46618386279621055,299,0.23684986868456714,0.5660011678391754,2012-08-18,26
2012-08-18 13:30:00,0.6476789297658866,299,0.4821884181891265,299,0.23223763896050964,0.5854325505318387,2012-08-18,27
2012-08-18 14:00:00,0.708441471571907,299,0.4427403955037656,299,0.2540252077661989,0.5375380850843701,2012-08-18,28
2012-08-18 14:30:00,0.6940869565217392,299,0.4130328211306352,299,0.24887812248911714,0.5014696512951651,2012-08-18,29
2012-08-18 15:00:00,0.6765752508361195,299,0.31005714333918033,299,0.24259896626572464,0.3764452595468116,2012-08-18,30
2012-08-18 15:30:00,0.6925886287625417,299,0.21369046477558287,299,0.2483408684806985,0.25944495781903165,2012-08-18,31
2012-08-18 16:00:00,0.7633645484949835,299,0.11373055764276319,299,0.2737189250122923,0.13808206071033455,2012-08-18,32
