root_voltage_pu,timestamp,load_multiplier,operational_solver_status,diagnostic_solver_status,primal_available,failure_reason
1,2010-08-08 18:30:00,0.595126338637917,NUMERICAL_ERROR,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-09 18:00:00,0.601652535766966,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-09 18:30:00,0.608838308129565,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-10 07:00:00,0.385383812824541,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-08-16 07:00:00,0.327015002338494,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-08-17 18:30:00,0.606634127621812,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-21 16:30:00,0.3051386906832,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-08-23 12:30:00,0.293961888543778,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-08-23 17:30:00,0.621809154904243,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-23 18:00:00,0.647875568134122,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-28 11:00:00,0.226687613177114,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-08-28 17:30:00,0.492702699461546,NUMERICAL_ERROR,ALMOST_OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-29 09:30:00,0.285970235168552,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-09-08 20:00:00,0.450178085313058,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-09-09 18:00:00,0.483574178229221,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-09-11 08:30:00,0.248585510930961,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-09-11 09:00:00,0.242061712257307,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-09-12 16:30:00,0.28961828582393,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-09-13 21:00:00,0.291870435439577,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-09-21 16:30:00,0.253320061880149,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-10-04 03:00:00,0.127204480314677,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-10-15 04:00:00,0.122522695384173,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-10-20 18:30:00,0.302155012172161,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-10-25 23:00:00,0.204748941681557,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-01 16:30:00,0.296029357094032,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-05 16:00:00,0.236255051746675,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-06 11:30:00,0.270648902107043,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-10 17:00:00,0.273196061736242,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-14 10:00:00,0.281381989998441,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-15 20:30:00,0.295127537865615,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-17 20:30:00,0.289886912828139,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-22 17:00:00,0.258906064494466,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-11-24 04:30:00,0.122640219698514,NUMERICAL_ERROR,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-11-30 19:00:00,0.288658903666039,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-03 18:30:00,0.276083802031492,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-09 21:00:00,0.427371172964611,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-21 04:30:00,0.123208653627064,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-22 05:00:00,0.131632028973341,NUMERICAL_ERROR,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-12-23 08:30:00,0.236458920455227,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-24 22:00:00,0.264842241596412,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-25 14:30:00,0.308957031671604,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-26 21:00:00,0.300133114274407,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-28 01:30:00,0.127525873337571,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-12-29 19:30:00,0.286778514636574,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2011-01-01 14:00:00,0.489891709738928,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2011-01-03 04:30:00,0.124134457409428,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2011-01-08 19:00:00,0.334325494381618,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2011-01-09 14:00:00,0.315085085205128,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2011-01-11 00:00:00,0.170933119071318,NUMERICAL_ERROR,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2011-01-11 17:30:00,0.326271481166129,NUMERICAL_ERROR,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
