timestamp,component_id,boundary_run_classification,is_convex,component_vertex_count,convex_hull_vertex_count,component_area_kw2,component_convex_hull_area_kw2,internal_nonconvexity_area_kw2,internal_nonconvexity_fraction,nonconvexity_depth_max_kw,nonconvexity_depth_definition,distance_tolerance_kw,area_tolerance_kw2,orientation_relative_tolerance
2011-05-11 18:00:00,20110511T180000_C01,VMAX / bus 30,true,14,14,130966.224212351,130966.224212351,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-05-11 18:00:00,20110511T180000_C02,VMAX / bus 13,false,15,12,188064.071353173,190466.614959151,2402.5436059779,0.0127751334355942,2.17863612109737,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-05-16 07:30:00,20110516T073000_C01,VMAX / bus 30,true,13,13,90615.3265956118,90615.3265956118,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-05-16 07:30:00,20110516T073000_C02,VMIN / bus 18,true,3,3,3.93671731455493,3.93671731455493,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-05-16 07:30:00,20110516T073000_C03,VMAX / bus 13,false,13,12,142590.671805708,142592.786194848,2.11438913983875,1.48283833231376e-05,0.0166686722272785,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-09-11 00:00:00,20110911T000000_C01,VMAX / bus 30,true,13,13,118211.712358882,118211.712358882,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-09-11 00:00:00,20110911T000000_C02,VMAX / bus 13,true,13,13,199887.590149114,199887.590149114,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-09-30 05:30:00,20110930T053000_C01,VMAX / bus 30,false,14,11,127784.904621301,129502.57115368,1717.66653237911,0.0134418579210864,3.25574069063418,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-09-30 05:30:00,20110930T053000_C02,VMAX / bus 13,true,12,12,121858.313955326,121858.313955326,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-09-30 11:30:00,20110930T113000_C01,VMAX / bus 30,false,13,12,119439.462555407,119452.082465656,12.6199102484679,0.000105659469479056,0.0861914368616648,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-09-30 11:30:00,20110930T113000_C02,VMAX / bus 13,true,13,13,203476.863314601,203476.863314601,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-11-14 17:30:00,20111114T173000_C01,VMAX / bus 30,true,14,14,131912.563243244,131912.563243244,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-11-14 17:30:00,20111114T173000_C02,VMAX / bus 13,true,14,14,190584.005338471,190584.005338471,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-11-14 19:30:00,20111114T193000_C01,VMAX / bus 30,true,14,14,126109.260894801,126109.260894801,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-11-14 19:30:00,20111114T193000_C02,VMAX / bus 13,false,15,13,191462.339321903,191925.746755515,463.407433611341,0.00242035815112558,1.70621045960915,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-12-15 05:30:00,20111215T053000_C01,VMAX / bus 30,false,14,12,135770.824753428,136689.72000128,918.895247851731,0.00676798752250732,3.57642321526575,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-12-15 05:30:00,20111215T053000_C02,VMAX / bus 13,true,12,12,124038.819057592,124038.819057592,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-04 03:30:00,20120804T033000_C01,VMAX / bus 30,false,14,12,139173.216564548,139709.545730674,536.329166125972,0.00385368089755418,2.38005989956684,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-04 03:30:00,20120804T033000_C02,VMAX / bus 13,true,12,12,125381.658506124,125381.658506124,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-05 23:30:00,20120805T233000_C01,VMAX / bus 30,true,13,13,118821.6509282,118821.6509282,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-05 23:30:00,20120805T233000_C02,VMAX / bus 13,true,13,13,201368.03061935,201368.03061935,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-24 12:00:00,20120824T120000_C01,VMAX / bus 30,true,13,13,123472.559987442,123472.559987442,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-24 12:00:00,20120824T120000_C02,VMAX / bus 13,true,13,13,211163.175142833,211163.175142833,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-31 11:30:00,20120831T113000_C01,VMAX / bus 30,true,13,13,124961.227324751,124961.227324751,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-08-31 11:30:00,20120831T113000_C02,VMAX / bus 13,true,13,13,215205.753052054,215205.753052054,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-09-03 07:00:00,20120903T070000_C01,VMAX / bus 30,true,13,13,97309.5825304636,97309.5825304636,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-09-03 07:00:00,20120903T070000_C02,VMAX / bus 13,true,13,13,155949.857598794,155949.857598794,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-10-15 13:00:00,20121015T130000_C01,VMAX / bus 30,false,14,12,136049.783266627,136956.303523016,906.520256389165,0.00666315105120445,3.63310587948452,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2012-10-15 13:00:00,20121015T130000_C02,VMAX / bus 13,true,12,12,124142.981023829,124142.981023829,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2013-04-07 02:00:00,20130407T020000_C01,VMAX / bus 30,true,13,13,110665.148491184,110665.148491184,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2013-04-07 02:00:00,20130407T020000_C02,VMAX / bus 13,true,13,13,183106.670503141,183106.670503141,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2013-04-17 05:30:00,20130417T053000_C01,VMAX / bus 30,true,13,13,151919.360633525,151919.360633525,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2013-04-17 05:30:00,20130417T053000_C02,VMAX / bus 13,false,13,12,127847.479899688,127882.974942142,35.4950424532872,0.000277635839839294,0.166629335091563,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
