scope,timestamp,component_id,breakdown_dimension,breakdown_group,inward_boundary_point_count,newly_excluded_count,newly_excluded_fraction,sampled_ray_angular_coverage_before_deg,sampled_ray_angular_coverage_after_deg,retained_inward_ray_points_before,retained_inward_ray_points_after,retained_signed_axis_endpoints_before,retained_signed_axis_endpoints_after,delta_r_kw_count,delta_r_kw_min,delta_r_kw_q1,delta_r_kw_median,delta_r_kw_q3,delta_r_kw_max,delta_r_over_r_original_count,delta_r_over_r_original_min,delta_r_over_r_original_q1,delta_r_over_r_original_median,delta_r_over_r_original_q3,delta_r_over_r_original_max,delta_r_over_paired_boundary_bracket_count,delta_r_over_paired_boundary_bracket_min,delta_r_over_paired_boundary_bracket_q1,delta_r_over_paired_boundary_bracket_median,delta_r_over_paired_boundary_bracket_q3,delta_r_over_paired_boundary_bracket_max
PER_TIMESTAMP_POCKET,2010-07-01 07:30:00,20100701T073000_C01,POCKET_BUS_CLASS,VMAX / bus 30,51,1,0.0196078431372549,345.000000000055,345.000000000055,47,46,4,4,1,0.0149386797102125,0.0149386797102125,0.0149386797102125,0.0149386797102125,0.0149386797102125,1,6.43601619030606e-06,6.43601619030606e-06,6.43601619030606e-06,6.43601619030606e-06,6.43601619030606e-06,1,0.0339242413321851,0.0339242413321851,0.0339242413321851,0.0339242413321851,0.0339242413321851
PER_TIMESTAMP_POCKET,2010-07-01 07:30:00,20100701T073000_C02,POCKET_BUS_CLASS,VMAX / bus 13,51,1,0.0196078431372549,345.000000000055,345.000000000055,47,47,4,3,1,0.268242239168103,0.268242239168103,0.268242239168103,0.268242239168103,0.268242239168103,1,0.000156926771123735,0.000156926771123735,0.000156926771123735,0.000156926771123735,0.000156926771123735,1,1.71675033067586,1.71675033067586,1.71675033067586,1.71675033067586,1.71675033067586
PER_AFFECTED_TIMESTAMP,2011-01-21 18:00:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,53,1,0.0188679245283019,349.999999999885,344.999999999975,49,48,4,4,1,0.0747252444812148,0.0747252444812148,0.0747252444812148,0.0747252444812148,0.0747252444812148,1,3.23900021486628e-05,3.23900021486628e-05,3.23900021486628e-05,3.23900021486628e-05,3.23900021486628e-05,1,0.337277098652704,0.337277098652704,0.337277098652704,0.337277098652704,0.337277098652704
PER_TIMESTAMP_POCKET,2011-01-21 18:00:00,20110121T180000_C01,POCKET_BUS_CLASS,VMAX / bus 30,53,1,0.0188679245283019,349.999999999885,344.999999999975,49,48,4,4,1,0.0747252444812148,0.0747252444812148,0.0747252444812148,0.0747252444812148,0.0747252444812148,1,3.23900021486628e-05,3.23900021486628e-05,3.23900021486628e-05,3.23900021486628e-05,3.23900021486628e-05,1,0.337277098652704,0.337277098652704,0.337277098652704,0.337277098652704,0.337277098652704
PER_AFFECTED_TIMESTAMP,2011-02-05 11:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,53,1,0.0188679245283019,349.99999999979,349.99999999979,49,48,4,4,1,0.0386574855206163,0.0386574855206163,0.0386574855206163,0.0386574855206163,0.0386574855206163,1,1.5558110732934e-05,1.5558110732934e-05,1.5558110732934e-05,1.5558110732934e-05,1.5558110732934e-05,1,0.0915905981091567,0.0915905981091567,0.0915905981091567,0.0915905981091567,0.0915905981091567
PER_TIMESTAMP_POCKET,2011-02-05 11:30:00,20110205T113000_C01,POCKET_BUS_CLASS,VMAX / bus 30,53,1,0.0188679245283019,349.99999999979,349.99999999979,49,48,4,4,1,0.0386574855206163,0.0386574855206163,0.0386574855206163,0.0386574855206163,0.0386574855206163,1,1.5558110732934e-05,1.5558110732934e-05,1.5558110732934e-05,1.5558110732934e-05,1.5558110732934e-05,1,0.0915905981091567,0.0915905981091567,0.0915905981091567,0.0915905981091567,0.0915905981091567
PER_AFFECTED_TIMESTAMP,2011-02-05 17:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,54,2,0.037037037037037,349.999999999738,340.000000000124,50,48,4,4,2,1.37728988917911,1.64022351299496,1.90315713681082,2.16609076062667,2.42902438444253,2,0.000862880112232298,0.00103054182704803,0.00119820354186377,0.0013658652566795,0.00153352697149524,2,6.23689729520084,7.47597621882099,8.71505514244114,9.95413406606128,11.1932129896814
PER_TIMESTAMP_POCKET,2011-02-05 17:30:00,20110205T173000_C01,POCKET_BUS_CLASS,VMAX / bus 30,54,2,0.037037037037037,349.999999999738,340.000000000124,50,48,4,4,2,1.37728988917911,1.64022351299496,1.90315713681082,2.16609076062667,2.42902438444253,2,0.000862880112232298,0.00103054182704803,0.00119820354186377,0.0013658652566795,0.00153352697149524,2,6.23689729520084,7.47597621882099,8.71505514244114,9.95413406606128,11.1932129896814
PER_AFFECTED_TIMESTAMP,2011-05-11 18:00:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,53,3,0.0566037735849057,349.999999999872,325.000000000151,49,46,4,4,3,0.184619714847258,1.40161385543445,2.61860799602164,5.65044158525438,8.68227517448713,3,0.000136274541987693,0.000940547755870527,0.00174482096975336,0.00340348782965152,0.00506215468954969,3,0.524793267663264,7.239063052131,13.9533328365987,17.8602989326622,21.7672650287257
PER_TIMESTAMP_POCKET,2011-05-11 18:00:00,20110511T180000_C02,POCKET_BUS_CLASS,VMAX / bus 13,53,3,0.0566037735849057,349.999999999872,325.000000000151,49,46,4,4,3,0.184619714847258,1.40161385543445,2.61860799602164,5.65044158525438,8.68227517448713,3,0.000136274541987693,0.000940547755870527,0.00174482096975336,0.00340348782965152,0.00506215468954969,3,0.524793267663264,7.239063052131,13.9533328365987,17.8602989326622,21.7672650287257
