timestamp,axis,axis_bus,baseline_status,baseline_power_flow_status,baseline_voltage_status,baseline_replay_status,axis_status,initial_step_kW,doubling_steps,bisection_steps,evaluation_count,safe_lower_kW,violating_upper_kW,axis_capacity_kW,capacity_tolerance_kW,bracket_width_kW,safe_Vmin_pu,safe_Vmin_bus,safe_Vmax_pu,safe_Vmax_bus,safe_vmax_bus_set,safe_upper_limit_near_binding_bus_set,safe_voltage_margin_pu,violating_Vmin_pu,violating_Vmin_bus,violating_Vmax_pu,violating_Vmax_bus,violating_vmax_bus_set,violating_upper_limit_near_binding_bus_set,violating_voltage_excess_pu,binding_tolerance_pu,safe_P_sub_kW,safe_Q_sub_kvar,safe_active_loss_kW,safe_reactive_loss_kvar,violating_P_sub_kW,violating_Q_sub_kvar,violating_active_loss_kW,violating_reactive_loss_kvar,safe_replay_status,violating_replay_status,monotonic_Vmax_check,monotonic_status_check,maximum_residual,maximum_primary_replay_voltage_difference,voltage_margin_tolerance_pu,power_stopping_criterion_met,voltage_stopping_criterion_met
2012-10-15 05:00:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1406.95648193,1407.18322754,1406.95648193,1,0.226745605469,0.999722773848,22,1.0499976533,13,13,13,2.34670373489e-06,0.999722887147,22,1.05000657043,13,13,13,6.57043188035e-06,1e-05,-873.103610556,336.665921025,65.9944677487,46.953136059,-873.308340003,336.681545493,66.0164839077,46.9687605267,PASSED,PASSED,true,true,1.61725775388e-14,2.56017429479e-13,1e-05,true,true
2012-10-15 05:00:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,2007.15209961,2007.60559082,2007.15209961,1,0.453491210938,1,1,1.04999387622,30,30,30,6.12377517584e-06,1,1,1.05000635169,30,30,30,6.35168560059e-06,1e-05,-1443.93955975,357.67986078,95.3541362277,67.9670758134,-1444.34858726,357.71135954,95.398599933,67.9985745734,PASSED,PASSED,true,true,1.74398921532e-14,2.30926389122e-13,1e-05,true,true
2012-10-15 05:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1418.29376221,1418.52050781,1418.29376221,1,0.226745605469,0.999674829022,22,1.04999707369,13,13,13,2.92631053389e-06,0.999674942278,22,1.05000598733,13,13,13,5.9873313738e-06,1e-05,-859.502303922,352.198446434,66.5587509169,47.3650791229,-859.706974548,352.21411568,66.5808258963,47.3807483689,PASSED,PASSED,true,true,1.61089496853e-14,2.57793786318e-13,1e-05,true,true
2012-10-15 05:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,13,21,2023.2510376,2023.4777832,2023.2510376,1,0.226745605469,0.999999905643,22,1.04999534519,30,30,30,4.65480788625e-06,1,1,1.05000158052,30,30,30,1.58052193333e-06,1e-05,-1434.84251377,373.424638731,96.1758164615,68.5912714196,-1435.04695777,373.440442273,96.1981180665,68.6070749613,PASSED,PASSED,true,true,1.73664878329e-14,2.33590924381e-13,1e-05,true,true
2012-10-15 06:00:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1484.503479,1484.73022461,1484.503479,1,0.226745605469,0.999395631815,22,1.04999703708,13,13,13,2.96291826607e-06,0.999395744822,22,1.05000593031,13,13,13,5.93031085949e-06,1e-05,-780.297562677,442.770032209,70.0835621647,49.927262952,-780.501889064,442.785963368,70.105981383,49.9431941112,PASSED,PASSED,true,true,1.56768211125e-14,2.41362485554e-13,1e-05,true,true
2012-10-15 06:00:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,2116.89697266,2117.35046387,2116.89697266,1,0.453491210938,0.999735373741,22,1.04999747501,30,30,30,2.52499218134e-06,0.999735599329,22,1.05000991729,30,30,30,9.91729169986e-06,1e-05,-1381.5980714,465.224901303,101.176547089,72.3821320467,-1382.00613517,465.257147315,101.221974531,72.4143780589,PASSED,PASSED,true,true,1.6912987027e-14,3.92130772298e-13,1e-05,true,true
2012-10-15 06:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1550.03295898,1550.25970459,1550.03295898,1,0.226745605469,0.998973302061,25,1.04999852942,13,13,13,1.47058203792e-06,0.998974019774,25,1.05000739743,13,13,13,7.39743080036e-06,1e-05,-682.422559136,554.799265444,74.9828975525,53.4645250166,-682.626459166,554.815520784,75.0057431272,53.480780357,PASSED,PASSED,true,true,1.59447749744e-14,2.12496686913e-13,1e-05,true,true
2012-10-15 06:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,2224.82788086,2225.28137207,2224.82788086,1,0.453491210938,0.99941404776,22,1.04999047415,30,30,30,9.52584592229e-06,0.999414272604,22,1.05000288412,30,30,30,2.88411615945e-06,1e-05,-1324.5689957,578.55039525,107.631382862,77.2156548226,-1324.9760505,578.583413164,107.677819276,77.2486727368,PASSED,PASSED,true,true,1.65837241645e-14,3.75699471533e-13,1e-05,true,true
2012-10-15 07:00:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1515.79437256,1516.02111816,1515.79437256,1,0.226745605469,0.998674100443,25,1.04999249076,13,13,13,7.50923722292e-06,0.998674817729,25,1.05000135211,13,13,13,1.35210926921e-06,1e-05,-655.851526267,585.043819746,76.3912100105,54.4774245041,-656.05531362,585.060160862,76.4141682634,54.4937656202,PASSED,PASSED,true,true,1.57788006232e-14,2.35367281221e-13,1e-05,true,true
2012-10-15 07:00:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,2230.26977539,2230.7232666,2230.26977539,1,0.453491210938,0.999344145487,22,1.04999044101,30,30,30,9.55898722488e-06,0.999344370138,22,1.05000284938,30,30,30,2.84938081507e-06,1e-05,-1337.90386282,608.526223281,108.814276291,77.9598280395,-1338.31064115,608.55941989,108.860989168,77.9930246484,PASSED,PASSED,true,true,1.66384678068e-14,3.74145159299e-13,1e-05,true,true
