timestamp,axis,axis_bus,point_index,search_phase,axis_injection_kW,reference_pv_kw,vpp_p13_kw,vpp_p30_kw,H_kW,pv_factor,P_sub_kW,Q_sub_kvar,active_loss_kW,reactive_loss_kvar,Vmin_pu,Vmin_bus,Vmax_pu,Vmax_bus,vmax_bus_set,upper_limit_near_binding_bus_set,power_flow_status,voltage_status,replay_status,maximum_residual,primary_replay_max_voltage_difference_pu,iterations,replay_iterations,warm_start_source,assembly_ms,primary_power_flow_ms,replay_ms,residual_audit_ms,classification_ms,bookkeeping_ms,total_evaluation_ms,allocated_bytes,gc_time_ms,axis_status,monotonic_Vmax_check,monotonic_status_check
2012-10-15 00:00:00,P30_VPP,30,3,doubling,116.09375,0.0270705851706,0,116.09375,850,3.18477472595e-05,419.017339183,331.451716263,2.53617144907,1.71158890494,0.98992874168,18,1,1,1,,CONVERGED,WITHIN_LIMITS,PASSED,1.66533453694e-15,4.71844785466e-14,17,21,previous_doubling_point,0.0014,0.1244,0.1325,0.0029,0.0004,0.0053,0.2669,136190,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,4,doubling,232.1875,0.0270705851706,0,232.1875,850,3.18477472595e-05,302.631712448,331.313493518,2.2442947138,1.57336615992,0.991500471698,18,1,1,1,,CONVERGED,WITHIN_LIMITS,PASSED,1.55431223448e-15,1.62092561595e-14,18,21,previous_doubling_point,0.0014,0.1278,0.131,0.0024,0.0003,0.0049,0.2678,139310,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,5,doubling,464.375,0.0270705851706,0,464.375,850,3.18477472595e-05,72.3734166418,332.803964171,4.17349890746,3.06383681305,0.994597684501,18,1.0040178997,30,30,,CONVERGED,WITHIN_LIMITS,PASSED,2.88657986403e-15,8.03801469829e-14,18,21,previous_doubling_point,0.0013,0.1267,0.1306,0.0025,0.0004,0.0049,0.2664,139310,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,6,doubling,928.75,0.0270705851706,0,928.75,850,3.18477472595e-05,-378.57126707,342.515183333,17.6038151953,12.7750559755,0.999108166372,25,1.01801749416,30,30,,CONVERGED,WITHIN_LIMITS,PASSED,3.99680288865e-15,9.59232693276e-14,19,22,previous_doubling_point,0.0014,0.1299,0.1367,0.0025,0.0004,0.005,0.2759,144334,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,7,doubling,1857.5,0.0270705851706,0,1857.5,850,3.18477472595e-05,-1245.51952547,386.506112173,79.4055567932,56.7659848146,0.999828482995,22,1.04467832462,30,30,,CONVERGED,WITHIN_LIMITS,PASSED,5.975398984e-15,8.5931262106e-14,21,24,previous_doubling_point,0.0013,0.1411,0.1709,0.0028,0.0004,0.0048,0.3213,154334,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,8,doubling,3715,0.0270705851706,0,3715,850,3.18477472595e-05,-2860.52920458,558.084784234,321.895877686,228.344656877,1,1,1.0935348604,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,1.23618688042e-14,1.41220368732e-13,24,27,previous_doubling_point,0.0027,0.1542,0.1893,0.0024,0.0006,0.0044,0.3536,169230,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,9,refinement,2786.25,0.0270705851706,0,2786.25,850,3.18477472595e-05,-2071.15408688,459.547047479,182.520995389,129.806920121,1,1,1.06977924915,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,1.59876467354e-14,1.29007915461e-13,22,25,nearest_bracket_endpoint,0.0014,0.1471,0.3494,0.009,0.0008,0.0131,0.5208,159278,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,10,refinement,2321.875,0.0270705851706,0,2321.875,850,3.18477472595e-05,-1663.15576694,419.638044551,126.144315329,89.8979171931,1,1,1.05740910099,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,1.72748582153e-14,7.90478793533e-14,21,24,nearest_bracket_endpoint,0.0019,0.3934,0.1673,0.0045,0.0008,0.0111,0.579,154318,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,11,refinement,2089.6875,0.0270705851706,0,2089.6875,850,3.18477472595e-05,-1455.58210623,402.197020989,101.530476036,72.4568936307,0.999944856239,22,1.05109047771,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,1.03071891218e-14,8.90398865749e-14,20,24,nearest_bracket_endpoint,0.0016,0.1451,0.1519,0.0029,0.0002,0.0054,0.3071,151166,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,12,refinement,1973.59375,0.0270705851706,0,1973.59375,850,3.18477472595e-05,-1350.86717219,394.129117516,90.1516600717,64.3889901585,0.999886916386,22,1.04789631507,30,30,,CONVERGED,WITHIN_LIMITS,PASSED,7.78316276919e-15,1.15241149956e-13,19,24,nearest_bracket_endpoint,0.0014,0.1351,0.1434,0.0029,0.0005,0.0051,0.2884,148046,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,13,refinement,2031.640625,0.0270705851706,0,2031.640625,850,3.18477472595e-05,-1403.30306008,398.107926751,95.7626471854,68.367799393,0.999915947482,22,1.04949634647,30,30,,CONVERGED,WITHIN_LIMITS,PASSED,8.98342392531e-15,1.89626092606e-13,18,24,nearest_bracket_endpoint,0.0029,0.128,0.1438,0.0024,0.0003,0.0041,0.2815,144878,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,14,refinement,2060.6640625,0.0270705851706,0,2060.6640625,850,3.18477472595e-05,-1429.46210601,400.138746146,98.6270387558,70.3986187881,0.999930417088,22,1.05029414611,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,9.68295979775e-15,9.14823772291e-14,18,24,nearest_bracket_endpoint,0.0023,0.1243,0.1421,0.0022,0.0004,0.0041,0.2754,144926,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,15,refinement,2046.15234375,0.0270705851706,0,2046.15234375,850,3.18477472595e-05,-1416.387474,399.119897316,97.1899520129,69.3797699579,0.9999231861,22,1.04989543023,30,30,,CONVERGED,WITHIN_LIMITS,PASSED,9.32687494936e-15,1.38333788868e-13,17,24,nearest_bracket_endpoint,0.0025,0.1173,0.1855,0.0029,0.0004,0.0042,0.3128,141758,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,16,refinement,2053.40820312,0.0270705851706,0,2053.40820312,850,3.18477472595e-05,-1422.92601146,399.62846285,97.9072739286,69.8883354923,0.999926802547,22,1.0500948341,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,9.45526844424e-15,2.12940776123e-13,16,24,nearest_bracket_endpoint,0.0015,0.1177,0.1405,0.0025,0.0003,0.0041,0.2666,138590,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,17,refinement,2049.78027344,0.0270705851706,0,2049.78027344,850,3.18477472595e-05,-1419.65704826,399.37396525,97.5483074465,69.6338378923,0.999924994562,22,1.04999514366,30,30,30,CONVERGED,WITHIN_LIMITS,PASSED,9.38795162658e-15,9.85878045867e-14,16,24,nearest_bracket_endpoint,0.0013,0.1137,0.1397,0.003,0.0003,0.0039,0.2619,138702,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,18,refinement,2051.59423828,0.0270705851706,0,2051.59423828,850,3.18477472595e-05,-1421.29160622,399.501160356,97.7277143266,69.7610329982,0.999925898614,22,1.05004499175,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,9.42465286513e-15,1.52766688188e-13,15,24,nearest_bracket_endpoint,0.0012,0.109,0.1424,0.0022,0.0003,0.0039,0.259,135454,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,19,refinement,2050.68725586,0.0270705851706,0,2050.68725586,850,3.18477472595e-05,-1420.47434633,399.437549378,97.6379917938,69.69742202,0.999925446603,22,1.05002006842,30,30,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,9.40629711158e-15,2.3625545964e-13,14,24,nearest_bracket_endpoint,0.0013,0.1039,0.1435,0.0023,0.0002,0.0041,0.2553,132398,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,20,refinement,2050.23376465,0.0270705851706,0,2050.23376465,850,3.18477472595e-05,-1420.06570207,399.405753958,97.5931448467,69.6656265996,0.999925220586,22,1.05000760622,30,30,30,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,9.400180806e-15,1.10578213253e-13,14,24,nearest_bracket_endpoint,0.0012,0.1042,0.1443,0.0022,0.0004,0.0043,0.2566,132350,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:30:00,P13_VPP,13,1,baseline,0,0.108869895429,0,0,850,0.000128082229916,515.064616081,319.107955452,3.40368972526,2.2652821334,0.988805301242,18,1,1,1,,CONVERGED,WITHIN_LIMITS,PASSED,2.55351295664e-15,5.50670620214e-14,19,21,flat_start_axis_baseline,0.0017,0.1412,0.1322,0.0037,0.0004,0.0053,0.2845,142462,0,VALID_REFINED_BOUND,true,true
